Year,State,Gallons of ethanol (absolute alcohol),Population (age 14 and older),Gallons of ethanol per capita age 14 and older,Decile for per capita consumption age 14 and older,Population (age 21 and older),Gallons of ethanol per capita age 21 and older,Decile for per capita consumption age 21 and older,Gallons of ethanol derived from time-varying ABV
1996,Colorado,8066539,3136418,25719,2.0,2759302,9234,2.0,7788388.0
1996,Connecticut,5624757,2690966,20902,7.0,2408919,3350,7.0,5308917.0
1996,Delaware,1659719,596838,27809,1.0,527071,1489,1.0,1620150.0
1996,District of Columbia,1740541,474480,36683,1.0,428274,641,1.0,1690111.0
1996,Florida,30869042,12156772,25392,2.0,10904095,8310,3.0,30534860.0
1996,Georgia,12987419,5948706,21832,6.0,5187446,5036,6.0,13013061.0
1996,Hawaii,2245850,959161,23415,3.0,845249,6570,4.0,2195181.0
1996,Idaho,1834981,936780,19588,8.0,789302,3248,7.0,1788873.0
1996,Illinois,22095984,9610454,22992,4.0,8415458,6256,4.0,21785855.0
1996,Indiana,8831315,4739660,18633,9.0,4122929,1420,8.0,8645771.0
1996,Iowa,4300967,2328784,18469,9.0,2021631,1275,9.0,4157319.0
1996,Kansas,3434841,2079485,16518,0.0,1804707,9033,0.0,3372500.0
1996,Kentucky,5562859,3167788,17561,9.0,2757418,174,9.0,5581275.0
1996,Louisiana,8485636,3449317,24601,2.0,2947774,8787,2.0,8352117.0
1996,Maine,2245202,1012916,22166,5.0,893261,5135,6.0,2203052.0
1996,Maryland,8464801,4077018,20762,7.0,3625287,3349,7.0,8372655.0
1996,Massachusetts,11785043,5013390,23507,3.0,4485167,6276,4.0,11231148.0
1996,Michigan,16219180,7760126,20901,7.0,6784537,3906,7.0,16191799.0
1996,Minnesota,8677592,3747855,23153,4.0,3269650,6540,4.0,8436826.0
1996,Mississippi,4629973,2163633,21399,6.0,1840953,5150,5.0,4726379.0
1996,Missouri,9112796,4347030,20963,7.0,3798590,3990,7.0,8973416.0
1996,Montana,1737566,709117,24503,3.0,612045,8390,2.0,1747429.0
1996,Nebraska,2806246,1332165,21065,6.0,1153625,4325,6.0,2775729.0
1996,Nevada,5179877,1331857,38892,1.0,1189481,3547,1.0,5032948.0
1996,New Hampshire,3857535,939086,41078,1.0,831452,6395,1.0,3702792.0
1996,New Jersey,14437233,6555011,22025,6.0,5848511,4685,6.0,13969312.0
1996,New Mexico,3239318,1360219,23815,3.0,1166789,7763,3.0,3208179.0
1996,New York,27486801,14912073,18433,9.0,13193202,834,9.0,26888183.0
1996,North Carolina,12019504,6073051,19792,7.0,5364332,2406,8.0,12190071.0
1996,North Dakota,1200852,522809,22969,4.0,449416,6720,3.0,1182710.0
1996,Ohio,17736143,9016735,19670,8.0,7897312,2458,8.0,17864653.0
1996,Oklahoma,4429797,2662021,16641,0.0,2304019,9226,0.0,4454643.0
1996,Oregon,5949079,2620970,22698,5.0,2299027,5877,5.0,5875141.0
1996,Pennsylvania,18724512,9942124,18834,8.0,8804292,1267,9.0,18917787.0
1996,Rhode Island,1860061,831421,22372,5.0,737464,5222,5.0,1783122.0
1996,South Carolina,6971665,3033021,22986,4.0,2638911,6419,4.0,7028384.0
1996,South Dakota,1260028,586772,21474,6.0,502369,5082,6.0,1251860.0
1996,Tennessee,7895312,4379117,18029,9.0,3844321,538,9.0,7944042.0
1996,Texas,33901680,15009358,22587,5.0,12936813,6206,5.0,33569934.0
1996,Utah,1902423,1549972,12274,0.0,1255101,5158,0.0,1840458.0
1996,Vermont,1152449,476832,24169,3.0,418022,7569,3.0,1120137.0
1996,Virginia,10402367,5447984,19094,8.0,4816397,1598,8.0,10355078.0
1996,Washington,9435918,4443655,21235,6.0,3898906,4201,6.0,9271580.0
1996,West Virginia,2389398,1508742,15837,0.0,1316190,8154,0.0,2412613.0
1996,Wisconsin,11105041,4195202,26471,1.0,3655070,383,2.0,10911536.0
1996,Wyoming,901527,387279,23278,4.0,329384,7370,3.0,883996.0
1996,Northeast Region,87173593,42373819,20573,,37620290,3172,,85188696.0
1996,Midwest Region,106780984,50267077,21243,,43875294,4337,,6037093.0
1996,South Region,162496319,75682899,21471,,66247061,4529,,63211375.0
1996,West Region,107372654,46289078,23196,,40430485,6557,,7000016.0
1996,United States,463823550,214612873,21612,,188173130,4649,,60118940.0
1997,Alabama,6391892,3508516,18218,9.0,3050164,956,9.0,6360799.0
1997,Alaska,1191024,465824,25568,2.0,399930,9781,2.0,1140925.0
1997,Arizona,9176720,3765989,24367,2.0,3299146,7815,3.0,8981965.0
1997,Arkansas,3564712,2082482,17118,0.0,1805851,9740,0.0,3506088.0
1997,California,57394796,25224977,22753,5.0,22064979,6012,4.0,55168417.0
1997,Colorado,7994714,3218038,24843,2.0,2824036,8310,2.0,7663684.0
1997,Connecticut,5864172,2703352,21692,6.0,2416444,4268,7.0,5527763.0
1997,Delaware,1704787,605832,28140,1.0,533629,1947,1.0,1634705.0
1997,District of Columbia,1804566,471167,38300,1.0,423252,2636,1.0,1748281.0
1997,Florida,31501945,12448565,25306,2.0,11145022,8265,2.0,30972815.0
1997,Georgia,13007037,6102303,21315,6.0,5315244,4471,6.0,12958070.0
1997,Hawaii,2261767,969978,23318,4.0,854376,6473,4.0,2195414.0
1997,Idaho,1873296,959466,19524,8.0,808437,3172,7.0,1808738.0
1997,Illinois,21890302,9676973,22621,5.0,8458455,5880,5.0,21262768.0
1997,Indiana,8842699,4772352,18529,8.0,4144495,1336,9.0,8619659.0
1997,Iowa,4327040,2340661,18486,9.0,2027712,1340,8.0,4088052.0
1997,Kansas,3501698,2096832,16700,0.0,1813828,9306,0.0,3380398.0
1997,Kentucky,5492952,3187213,17234,9.0,2773005,9809,9.0,5399000.0
1997,Louisiana,8492085,3479249,24408,2.0,2970225,8591,2.0,8345956.0
1997,Maine,2211063,1022014,21634,6.0,900865,4544,6.0,2122966.0
1997,Maryland,8661820,4114062,21054,7.0,3648426,3741,7.0,8541265.0
1997,Massachusetts,12074688,5056357,23880,3.0,4512651,6757,4.0,11427312.0
1997,Michigan,16168626,7803376,20720,7.0,6813675,3730,7.0,15812818.0
1997,Minnesota,8766716,3794309,23105,4.0,3300425,6562,4.0,8460274.0
1997,Mississippi,4567850,2188861,20869,7.0,1861689,4536,6.0,4647764.0
1997,Missouri,9425847,4391762,21463,6.0,3829612,4613,6.0,9197398.0
1997,Montana,1660583,715819,23198,4.0,617411,6896,3.0,1631093.0
1997,Nebraska,2815363,1344035,20947,7.0,1161021,4249,7.0,2769413.0
1997,Nevada,5245161,1411146,37170,1.0,1257631,1707,1.0,5061889.0
1997,New Hampshire,3854635,953106,40443,1.0,841426,5811,1.0,3670462.0
1997,New Jersey,14510290,6616683,21930,5.0,5901853,4586,6.0,13942473.0
1997,New Mexico,3220370,1379692,23341,3.0,1181350,7260,3.0,3176963.0
1997,New York,26824652,14987339,17898,9.0,13242642,256,9.0,26065124.0
1997,North Carolina,12182566,6197592,19657,7.0,5468330,2278,8.0,12315593.0
1997,North Dakota,1205760,524539,22987,4.0,449566,6821,4.0,1179177.0
1997,Ohio,17138118,9043629,18950,8.0,7909496,1668,8.0,16889962.0
1997,Oklahoma,4435472,2693173,16469,0.0,2326290,9067,0.0,4375813.0
1997,Oregon,5974614,2668755,22387,5.0,2337674,5558,5.0,5860245.0
1997,Pennsylvania,19381774,9954358,19471,8.0,8795939,2035,8.0,19229330.0
1997,Rhode Island,1917767,835327,22958,4.0,737826,5992,5.0,1830165.0
1997,South Carolina,7394591,3086282,23960,3.0,2683199,7559,3.0,7455910.0
1997,South Dakota,1269703,589367,21544,6.0,503332,5226,5.0,1252277.0
1997,Tennessee,7994592,4451574,17959,9.0,3906680,464,9.0,7922806.0
1997,Texas,34081757,15344722,22211,5.0,13203751,5812,5.0,33704762.0
1997,Utah,2015522,1591019,12668,0.0,1288563,5642,0.0,1939422.0
1997,Vermont,1146121,482551,23751,3.0,422050,7156,3.0,1104165.0
1997,Virginia,10394416,5515097,18847,8.0,4867733,1354,8.0,10307335.0
1997,Washington,9730374,4535707,21453,6.0,3970503,4507,6.0,9490154.0
1997,West Virginia,2388635,1507464,15845,0.0,1317255,8133,0.0,2397983.0
1997,Wisconsin,11477043,4231035,27126,1.0,3677831,1206,1.0,11215583.0
1997,Wyoming,935103,390305,23958,3.0,331634,8197,2.0,910855.0
1997,Northeast Region,87785162,42611087,20601,,37771696,3241,,85374513.0
1997,Midwest Region,106828914,50608870,21109,,44089448,4230,,4107716.0
1997,South Region,164061675,76984154,21311,,67299745,4378,,64163720.0
1997,West Region,108674044,47296715,22977,,41235670,6354,,4878107.0
1997,United States,467349796,217500826,21487,,190396559,4546,,55292406.0
1998,Alabama,6556184,3545041,18494,9.0,3087451,1235,9.0,6526164.0
1998,Alaska,1274677,470014,27120,2.0,402242,1689,1.0,1226058.0
1998,Arizona,9479464,3871505,24485,2.0,3387087,7987,2.0,9274324.0
1998,Arkansas,3640628,2102883,17313,0.0,1825554,9943,0.0,3589049.0
1998,California,56722473,25721935,22052,6.0,22474622,5238,5.0,54721982.0
1998,Colorado,8339241,3292917,25325,2.0,2885132,8904,2.0,8014041.0
1998,Connecticut,5985446,2711700,22073,5.0,2420093,4732,6.0,5640153.0
1998,Delaware,1791751,615485,29111,1.0,541172,3109,1.0,1713266.0
1998,District of Columbia,1764963,473123,37305,1.0,423770,1649,1.0,1695756.0
1998,Florida,31788357,12710839,25009,2.0,11368290,7962,3.0,30840996.0
1998,Georgia,13429915,6239207,21525,6.0,5433862,4715,6.0,13233028.0
1998,Hawaii,2171932,977957,22209,5.0,862513,5181,5.0,2116355.0
1998,Idaho,1950253,978427,19933,7.0,826495,3597,7.0,1899264.0
1998,Illinois,21968372,9756032,22518,4.0,8526542,5765,4.0,21444205.0
1998,Indiana,9191148,4800496,19146,8.0,4168716,2048,8.0,8964879.0
1998,Iowa,4456618,2350184,18963,8.0,2034807,1902,8.0,4273364.0
1998,Kansas,3715817,2116668,17555,9.0,1828074,326,9.0,3584180.0
1998,Kentucky,5592488,3219751,17369,0.0,2808405,9913,0.0,5530592.0
1998,Louisiana,8421229,3501832,24048,3.0,2991155,8154,2.0,8330811.0
1998,Maine,2224795,1027524,21652,6.0,905336,4574,6.0,2134748.0
1998,Maryland,8632923,4149443,20805,7.0,3672629,3506,7.0,8516456.0
1998,Massachusetts,12175970,5093375,23906,3.0,4535316,6847,4.0,11550188.0
1998,Michigan,16491874,7834655,21050,7.0,6839755,4112,7.0,16144398.0
1998,Minnesota,8698086,3835104,22680,4.0,3330391,6117,4.0,8412819.0
1998,Mississippi,4605142,2214550,20795,7.0,1887237,4402,7.0,4688706.0
1998,Missouri,9651595,4422966,21822,6.0,3853922,5044,6.0,9426769.0
1998,Montana,1759760,719116,24471,2.0,620550,8358,2.0,1734896.0
1998,Nebraska,2922327,1352335,21609,6.0,1167066,5040,6.0,2871378.0
1998,Nevada,5353294,1479050,36194,1.0,1316215,672,1.0,5170938.0
1998,New Hampshire,3855992,966686,39889,1.0,851579,5280,1.0,3676739.0
1998,New Jersey,14335898,6672364,21485,6.0,5953414,4080,7.0,13811666.0
1998,New Mexico,3235360,1400016,23109,4.0,1199744,6967,4.0,3145978.0
1998,New York,27748556,15103822,18372,9.0,13344907,793,9.0,27165801.0
1998,North Carolina,12285648,6318632,19444,8.0,5576817,2030,8.0,12421932.0
1998,North Dakota,1229787,524042,23467,4.0,448626,7412,3.0,1208077.0
1998,Ohio,17623199,9072868,19424,8.0,7934738,2210,8.0,17286309.0
1998,Oklahoma,4558612,2721042,16753,0.0,2349495,9403,0.0,4495530.0
1998,Oregon,6094975,2709242,22497,4.0,2373536,5679,5.0,5916376.0
1998,Pennsylvania,18404716,9973836,18453,9.0,8804101,905,9.0,18180441.0
1998,Rhode Island,1886339,841628,22413,5.0,741427,5442,5.0,1790163.0
1998,South Carolina,7445906,3139765,23715,3.0,2732447,7250,3.0,7489044.0
1998,South Dakota,1317151,591932,22252,5.0,505409,6061,4.0,1304279.0
1998,Tennessee,8286252,4508981,18377,9.0,3960382,923,9.0,8235399.0
1998,Texas,34673808,15674371,22121,5.0,13479671,5723,5.0,34243882.0
1998,Utah,2062425,1625086,12691,0.0,1322052,5600,0.0,1999718.0
1998,Vermont,1165051,487405,23903,3.0,425719,7367,3.0,1123364.0
1998,Virginia,10857500,5567466,19502,8.0,4909775,2114,8.0,10806426.0
1998,Washington,9891464,4614319,21436,7.0,4035258,4513,6.0,9705508.0
1998,West Virginia,2463570,1505180,16367,0.0,1319816,8666,0.0,2478055.0
1998,Wisconsin,11657884,4259308,27370,1.0,3699024,1516,2.0,11376864.0
1998,Wyoming,926173,392817,23578,3.0,334116,7720,3.0,902189.0
1998,Northeast Region,87782764,42878340,20473,,37981892,3112,,85599160.0
1998,Midwest Region,108923858,50916590,21393,,44337070,4567,,6650708.0
1998,South Region,166794876,78207591,21327,,68367928,4397,,64578182.0
1998,West Region,109261491,48252401,22644,,42039562,5990,,5747215.0
1998,United States,472762989,220254922,21464,,192726452,4530,,61476073.0
1999,Alabama,6656307,3566139,18665,9.0,3109120,1409,9.0,6634658.0
1999,Alaska,1304506,476953,27351,1.0,407814,1988,1.0,1257730.0
1999,Arizona,9970840,3974646,25086,2.0,3470868,8727,2.0,9764688.0
1999,Arkansas,3724712,2128784,17497,0.0,1850964,123,0.0,3656854.0
1999,California,58318694,26226841,22236,6.0,22870203,5500,6.0,56548073.0
1999,Colorado,8304535,3384222,24539,3.0,2961889,8038,3.0,8003776.0
1999,Connecticut,5952938,2727622,21825,6.0,2429195,4506,6.0,5621685.0
1999,Delaware,1811709,624846,28994,1.0,548105,3054,1.0,1739429.0
1999,District of Columbia,1681550,477555,35212,1.0,425205,9547,1.0,1621938.0
1999,Florida,32790159,12952441,25316,2.0,11565876,8351,3.0,31822261.0
1999,Georgia,13923202,6378060,21830,6.0,5552246,5077,6.0,13709662.0
1999,Hawaii,2211888,977326,22632,5.0,862504,5645,5.0,2122958.0
1999,Idaho,2021010,997160,20268,7.0,844617,3928,7.0,1945422.0
1999,Illinois,22336808,9831397,22720,5.0,8586652,6013,5.0,21847761.0
1999,Indiana,9371123,4832674,19391,8.0,4196184,2332,8.0,9150822.0
1999,Iowa,4601320,2361369,19486,8.0,2044081,2510,8.0,4414131.0
1999,Kansas,3863046,2132165,18118,9.0,1839250,1003,9.0,3730330.0
1999,Kentucky,5667137,3250704,17434,0.0,2841428,9945,0.0,5600063.0
1999,Louisiana,8623103,3526497,24452,3.0,3014135,8609,2.0,8535307.0
1999,Maine,2290275,1038145,22061,6.0,915063,5029,6.0,2195393.0
1999,Maryland,8740475,4196195,20830,7.0,3707237,3577,7.0,8613562.0
1999,Massachusetts,12290457,5141463,23905,4.0,4567257,6910,4.0,11671324.0
1999,Michigan,16633141,7882097,21102,7.0,6878095,4183,7.0,16304565.0
1999,Minnesota,9188604,3891563,23612,4.0,3375868,7218,4.0,8898217.0
1999,Mississippi,4780451,2234522,21394,7.0,1907098,5067,6.0,4795284.0
1999,Missouri,9962118,4464137,22316,5.0,3889130,5615,5.0,9723097.0
1999,Montana,1822959,725133,25140,2.0,626092,9116,2.0,1796406.0
1999,Nebraska,2979136,1361335,21884,6.0,1174301,5369,6.0,2932080.0
1999,Nevada,5764732,1541516,37397,1.0,1369202,2103,1.0,5567517.0
1999,New Hampshire,3996551,983082,40653,1.0,864526,6228,1.0,3804608.0
1999,New Jersey,14673690,6727882,21810,6.0,5999951,4456,7.0,14129887.0
1999,New Mexico,3349229,1416532,23644,4.0,1214582,7575,4.0,3259965.0
1999,New York,28186737,15225049,18513,9.0,13438877,974,9.0,27569043.0
1999,North Carolina,12601581,6428428,19603,8.0,5671768,2218,8.0,12745987.0
1999,North Dakota,1258398,522756,24072,3.0,447218,8138,3.0,1216923.0
1999,Ohio,17254761,9099432,18962,9.0,7956118,1687,9.0,17033823.0
1999,Oklahoma,4623770,2754959,16783,0.0,2379054,9435,0.0,4553849.0
1999,Oregon,6239076,2745850,22722,4.0,2406253,5929,5.0,6069217.0
1999,Pennsylvania,19260626,10006286,19249,8.0,8823260,1829,8.0,19016451.0
1999,Rhode Island,1936237,847245,22853,4.0,743423,6045,4.0,1836047.0
1999,South Carolina,7711546,3193854,24145,3.0,2781929,7720,3.0,7657776.0
1999,South Dakota,1356653,597167,22718,5.0,509984,6602,4.0,1325279.0
1999,Tennessee,8367531,4562851,18338,9.0,4009510,869,9.0,8314304.0
1999,Texas,35676942,16011898,22282,5.0,13760723,5927,5.0,35265516.0
1999,Utah,2074204,1653873,12541,0.0,1352577,5335,0.0,1979606.0
1999,Vermont,1193799,492724,24229,3.0,429565,7791,3.0,1151869.0
1999,Virginia,11134704,5655607,19688,8.0,4983100,2345,8.0,11118001.0
1999,Washington,10002876,4679324,21377,7.0,4087394,4473,7.0,9820558.0
1999,West Virginia,2542668,1504363,16902,0.0,1323971,9205,0.0,2559863.0
1999,Wisconsin,11664485,4291921,27178,2.0,3724385,1319,2.0,11366064.0
1999,Wyoming,977143,395233,24723,2.0,336867,9007,2.0,949732.0
1999,Northeast Region,89781308,43189498,20788,,38211117,3496,,87643458.0
1999,Midwest Region,110469594,51268013,21547,,44621266,4757,,7432632.0
1999,South Region,171057547,79447703,21531,,69431469,4637,,69056782.0
1999,West Region,112361692,49194609,22840,,42810862,6246,,9011985.0
1999,United States,483670141,223099823,21680,,195074714,4794,,72883338.0
2000,Alabama,6733569,3586283,18776,9.0,3129348,1517,9.0,6722598.0
2000,Alaska,1291101,481493,26815,2.0,411433,1381,2.0,1245470.0
2000,Arizona,10217991,4079314,25048,3.0,3556992,8726,3.0,9888229.0
2000,Arkansas,3748508,2156023,17386,0.0,1877664,9964,0.0,3684127.0
2000,California,59794072,26686458,22406,5.0,23233200,5736,6.0,58148490.0
2000,Colorado,9021696,3467312,26019,2.0,3032550,9750,2.0,8573083.0
2000,Connecticut,5982254,2749300,21759,6.0,2444892,4468,7.0,5680975.0
2000,Delaware,1836014,634573,28933,1.0,555872,3029,1.0,1761593.0
2000,District of Columbia,1751119,480040,36479,1.0,425617,1143,1.0,1691961.0
2000,Florida,33789648,13215951,25567,2.0,11788132,8664,3.0,32823555.0
2000,Georgia,14085091,6522610,21594,7.0,5677245,4810,6.0,13900252.0
2000,Hawaii,2284551,983848,23221,4.0,869189,6284,5.0,2200789.0
2000,Idaho,2055601,1016849,20215,7.0,863782,3798,7.0,1983320.0
2000,Illinois,22160515,9903407,22377,6.0,8646831,5628,6.0,21716627.0
2000,Indiana,9629350,4870765,19770,8.0,4230470,2762,8.0,9408017.0
2000,Iowa,4689923,2371254,19778,8.0,2053526,2838,8.0,4504398.0
2000,Kansas,3896409,2146413,18153,9.0,1851211,1048,9.0,3770083.0
2000,Kentucky,5708408,3280788,17400,0.0,2873290,9867,0.0,5644331.0
2000,Louisiana,8646270,3543788,24398,3.0,3033030,8507,3.0,8456076.0
2000,Maine,2336688,1049743,22260,6.0,925870,5238,6.0,2246370.0
2000,Maryland,8869315,4249934,20869,7.0,3749713,3653,7.0,8651688.0
2000,Massachusetts,13225212,5185297,25505,2.0,4597828,8764,2.0,12600447.0
2000,Michigan,16894499,7936545,21287,7.0,6925627,4394,7.0,16570815.0
2000,Minnesota,9338390,3947736,23655,4.0,3424461,7270,4.0,9053398.0
2000,Mississippi,4826847,2253573,21419,7.0,1927457,5043,6.0,4842658.0
2000,Missouri,10137759,4510168,22478,5.0,3929927,5796,5.0,9899931.0
2000,Montana,1860547,732280,25408,2.0,633168,9385,2.0,1836547.0
2000,Nebraska,3055408,1370964,22287,6.0,1182928,5829,5.0,3003364.0
2000,Nevada,5900997,1608032,36697,1.0,1426520,1366,1.0,5655174.0
2000,New Hampshire,4058506,1000460,40566,1.0,878895,6177,1.0,3879110.0
2000,New Jersey,14893538,6784547,21952,6.0,6047481,4628,7.0,14212928.0
2000,New Mexico,3414051,1432211,23838,4.0,1229715,7763,4.0,3325359.0
2000,New York,28777453,15341325,18758,9.0,13532763,1265,9.0,28154872.0
2000,North Carolina,12953277,6532775,19828,8.0,5760480,2486,8.0,12934204.0
2000,North Dakota,1255161,522577,24019,4.0,447126,8072,3.0,1215010.0
2000,Ohio,17417189,9132808,19071,9.0,7986948,1807,9.0,17222451.0
2000,Oklahoma,4682308,2774054,16879,0.0,2397273,9532,0.0,4614306.0
2000,Oregon,6328724,2778042,22781,5.0,2435687,5983,5.0,6176000.0
2000,Pennsylvania,19685150,10039919,19607,8.0,8847081,2250,8.0,19461082.0
2000,Rhode Island,1981033,856626,23126,4.0,750041,6412,4.0,1880083.0
2000,South Carolina,7886364,3240532,24337,3.0,2823710,7929,4.0,7850668.0
2000,South Dakota,1385459,603308,22964,5.0,515930,6854,4.0,1353344.0
2000,Tennessee,8554880,4616152,18532,9.0,4058249,1080,9.0,8506811.0
2000,Texas,36767206,16345954,22493,5.0,14047804,6173,5.0,35779784.0
2000,Utah,2170326,1686882,12866,0.0,1386119,5658,0.0,2071941.0
2000,Vermont,1212495,498249,24335,3.0,434023,7936,3.0,1173744.0
2000,Virginia,11301331,5748965,19658,8.0,5062656,2323,8.0,11154207.0
2000,Washington,10351280,4741447,21831,6.0,4139898,5004,6.0,10070104.0
2000,West Virginia,2554888,1503024,16998,0.0,1326571,9259,0.0,2531665.0
2000,Wisconsin,11941373,4330708,27574,1.0,3758804,1769,1.0,11471291.0
2000,Wyoming,998478,399117,25017,3.0,341302,9255,2.0,958347.0
2000,Northeast Region,92152329,43505466,21182,,38458874,3961,,89857837.0
2000,Midwest Region,111801434,51646653,21647,,44953789,4870,,8898685.0
2000,South Region,174695043,80685019,21651,,70514111,4774,,73302769.0
2000,West Region,115689417,50093285,23095,,43559555,6559,,12587640.0
2000,United States,494338222,225930423,21880,,197486329,5032,,83729986.0
2001,Alabama,6701251,3603227,18598,9.0,3149492,1277,9.0,6592500.0
2001,Alaska,1304641,489250,26666,2.0,416762,1304,2.0,1255858.0
2001,Arizona,10423219,4173770,24973,3.0,3646923,8581,2.0,10083802.0
2001,Arkansas,3770972,2168828,17387,0.0,1893986,9910,0.0,3720052.0
2001,California,59700280,27152073,21987,6.0,23655436,5237,6.0,57972779.0
2001,Colorado,9883309,3551248,27831,1.0,3104719,1833,1.0,9414912.0
2001,Connecticut,6075276,2771120,21924,6.0,2457529,4721,6.0,5785996.0
2001,Delaware,1892884,643364,29422,1.0,564140,3553,1.0,1815004.0
2001,District of Columbia,1742253,482433,36114,1.0,429040,608,1.0,1685319.0
2001,Florida,34306001,13487721,25435,2.0,12026275,8526,3.0,33377136.0
2001,Georgia,13985622,6641358,21058,7.0,5788537,4161,7.0,13817430.0
2001,Hawaii,2272520,997134,22791,5.0,881284,5786,5.0,2189643.0
2001,Idaho,2098334,1034088,20292,7.0,880425,3833,7.0,2030421.0
2001,Illinois,22704256,9958423,22799,5.0,8703823,6085,5.0,22159256.0
2001,Indiana,9615360,4901621,19617,8.0,4263265,2554,8.0,9296402.0
2001,Iowa,4734767,2376415,19924,8.0,2059478,2990,8.0,4581859.0
2001,Kansas,3874951,2157802,17958,9.0,1858740,847,9.0,3762628.0
2001,Kentucky,5369539,3299092,16276,0.0,2895041,8547,0.0,5335101.0
2001,Louisiana,8560213,3558896,24053,3.0,3055014,8020,3.0,8346891.0
2001,Maine,2422122,1060469,22840,5.0,934182,5928,5.0,2325996.0
2001,Maryland,9110187,4310420,21135,7.0,3800394,3972,7.0,8871916.0
2001,Massachusetts,12755393,5224828,24413,3.0,4628350,7559,4.0,12187003.0
2001,Michigan,16682437,7981826,20901,7.0,6966268,3947,7.0,16357761.0
2001,Minnesota,9570672,3996151,23950,4.0,3467743,7599,4.0,9294903.0
2001,Mississippi,4779226,2260601,21141,7.0,1940015,4635,6.0,4795428.0
2001,Missouri,10232246,4546072,22508,5.0,3964029,5813,5.0,9881825.0
2001,Montana,1891531,737840,25636,2.0,637612,9666,2.0,1867783.0
2001,Nebraska,3027379,1378270,21965,6.0,1187854,5486,6.0,2935738.0
2001,Nevada,6010979,1673852,35911,1.0,1487414,412,1.0,5762193.0
2001,New Hampshire,4092906,1015955,40286,1.0,890696,5952,1.0,3867630.0
2001,New Jersey,15061832,6840978,22017,6.0,6093238,4719,6.0,14429221.0
2001,New Mexico,3460836,1447525,23909,4.0,1243187,7838,3.0,3372882.0
2001,New York,29134392,15445883,18862,9.0,13626318,1381,9.0,28327781.0
2001,North Carolina,13246179,6634597,19965,8.0,5848330,2650,8.0,13249869.0
2001,North Dakota,1263308,522715,24168,3.0,446268,8308,3.0,1226154.0
2001,Ohio,17714300,9165011,19328,9.0,8026917,2069,9.0,17521916.0
2001,Oklahoma,4615115,2789613,16544,0.0,2413183,9125,0.0,4550964.0
2001,Oregon,6477867,2815578,23007,4.0,2471711,6208,4.0,6329864.0
2001,Pennsylvania,20318824,10072872,20172,8.0,8873533,2898,8.0,20120718.0
2001,Rhode Island,2038940,864272,23591,4.0,756767,6943,4.0,1945101.0
2001,South Carolina,7434376,3277679,22682,5.0,2861057,5985,5.0,7404716.0
2001,South Dakota,1426140,606842,23501,4.0,519329,7461,4.0,1395074.0
2001,Tennessee,8429777,4656348,18104,9.0,4100449,558,9.0,8395673.0
2001,Texas,36800617,16660947,22088,6.0,14331479,5678,6.0,35565894.0
2001,Utah,2226264,1718831,12952,0.0,1419248,5686,0.0,2156727.0
2001,Vermont,1233430,502587,24542,3.0,436363,8266,3.0,1197046.0
2001,Virginia,11510193,5834066,19729,8.0,5131850,2429,8.0,11354884.0
2001,Washington,10334660,4817540,21452,6.0,4209343,4552,7.0,10067848.0
2001,West Virginia,2579157,1500826,17185,0.0,1328421,9415,0.0,2554921.0
2001,Wisconsin,12030533,4367880,27543,2.0,3790442,1739,2.0,11589371.0
2001,Wyoming,1014091,401331,25268,2.0,343790,9497,2.0,974299.0
2001,Northeast Region,93133114,43798964,21264,,38696976,4067,,90180512.0
2001,Midwest Region,112876349,51959028,21724,,45254156,4943,,8713813.0
2001,South Region,174833561,81810016,21371,,71556703,4433,,70494393.0
2001,West Region,117098531,51010060,22956,,44397854,6375,,12559264.0
2001,United States,497941556,228578068,21784,,199905689,4909,,87322434.0
2002,Alabama,6951703,3619570,19206,9.0,3170139,1929,9.0,6822330.0
2002,Alaska,1490190,498818,29874,1.0,424130,5135,1.0,1430782.0
2002,Arizona,10624019,4277263,24838,3.0,3744204,8375,3.0,10278309.0
2002,Arkansas,3817372,2183386,17484,0.0,1911727,9968,0.0,3724812.0
2002,California,60806210,27552247,22069,6.0,24011999,5323,6.0,58378815.0
2002,Colorado,9533872,3608580,26420,2.0,3154062,227,2.0,9097445.0
2002,Connecticut,6176232,2799478,22062,6.0,2475143,4953,6.0,5876325.0
2002,Delaware,1967993,653619,30109,1.0,573636,4307,1.0,1885143.0
2002,District of Columbia,1764049,481751,36617,1.0,428369,1181,1.0,1701444.0
2002,Florida,35574024,13784689,25807,2.0,12288791,8948,3.0,34557382.0
2002,Georgia,14360086,6749341,21276,7.0,5888699,4386,7.0,14175498.0
2002,Hawaii,2304307,1011321,22785,5.0,894863,5750,6.0,2218531.0
2002,Idaho,2152267,1051283,20473,8.0,897768,3974,7.0,2081891.0
2002,Illinois,22646103,10006874,22631,5.0,8755234,5866,5.0,22111976.0
2002,Indiana,9508044,4930665,19283,9.0,4294362,2141,9.0,9201368.0
2002,Iowa,4849855,2381834,20362,8.0,2066086,3474,8.0,4684513.0
2002,Kansas,4082048,2169894,18812,9.0,1870623,1822,9.0,3980301.0
2002,Kentucky,5859787,3319651,17652,0.0,2920406,65,0.0,5810389.0
2002,Louisiana,8107769,3583044,22628,5.0,3087074,6264,5.0,7877029.0
2002,Maine,2498238,1073106,23280,4.0,944505,6450,4.0,2365567.0
2002,Maryland,9272318,4375504,21191,7.0,3854445,4056,7.0,9034404.0
