Year,State,Gallons of ethanol (absolute alcohol),Population (age 14 and older),Gallons of ethanol per capita age 14 and older,Decile for per capita consumption age 14 and older,Population (age 21 and older),Gallons of ethanol per capita age 21 and older,Decile for per capita consumption age 21 and older,Gallons of ethanol derived from time-varying ABV
1972,United States,398096475,156503574,25437,,128187640,1056,,
1973,Alabama,4440475,2663917,16669,0.0,2154401,611,0.0,
1973,Alaska,821000,231816,35416,1.0,180982,5364,1.0,
1973,Arizona,4585730,1572521,29162,3.0,1273789,6001,3.0,
1973,Arkansas,2391465,1552206,15407,0.0,1278242,8709,0.0,
1973,California,50553820,15909861,31775,2.0,13110283,8560,2.0,
1973,Colorado,5663860,1872867,30242,2.0,1511790,7465,2.0,
1973,Connecticut,6366465,2328934,27336,5.0,1927873,3023,5.0,
1973,Delaware,1299370,431201,30134,3.0,346967,7449,2.0,
1973,District of Columbia,3540800,579360,61116,1.0,485148,2984,1.0,
1973,Florida,19594360,6176609,31723,2.0,5196779,7705,2.0,
1973,Georgia,7517125,3619442,20769,8.0,2926577,5686,8.0,
1973,Hawaii,1758735,634318,27726,4.0,509590,4513,4.0,
1973,Idaho,1353285,574570,23553,7.0,459978,9421,6.0,
1973,Illinois,24270235,8485274,28603,4.0,6981682,4763,4.0,
1973,Indiana,7116900,3975068,17904,9.0,3229697,2036,9.0,
1973,Iowa,4287025,2162202,19827,8.0,1773174,4177,8.0,
1973,Kansas,3067125,1736051,17667,0.0,1417724,1634,0.0,
1973,Kentucky,4826800,2525845,19110,9.0,2056186,3475,9.0,
1973,Louisiana,6596070,2750554,23981,6.0,2193826,67,6.0,
1973,Maine,2016930,784689,25704,6.0,643106,1362,6.0,
1973,Maryland,9241035,3063151,30168,3.0,2497513,7001,3.0,
1973,Massachusetts,13365325,4421233,30230,2.0,3648447,6633,3.0,
1973,Michigan,18293075,6707005,27275,5.0,5398401,3886,5.0,
1973,Minnesota,7638280,2890777,26423,5.0,2338068,2669,5.0,
1973,Mississippi,3111855,1709926,18199,9.0,1359676,2887,9.0,
1973,Missouri,7985135,3642137,21924,8.0,2999430,6622,8.0,
1973,Montana,1574420,543202,28984,4.0,438092,5938,3.0,
1973,Nebraska,2876070,1156096,24877,6.0,945636,414,6.0,
1973,Nevada,2608195,425722,61265,1.0,353234,3838,1.0,
1973,New Hampshire,3204145,597803,53599,1.0,494456,4801,1.0,
1973,New Jersey,15902740,5573049,28535,4.0,4642621,4254,4.0,
1973,New Mexico,2082220,793321,26247,5.0,624174,3360,5.0,
1973,New York,40872620,13957785,29283,3.0,11676986,5003,4.0,
1973,North Carolina,7763250,4054844,19146,8.0,3283129,3646,8.0,
1973,North Dakota,1229175,474732,25892,6.0,379369,2401,6.0,
1973,Ohio,17727525,8082664,21933,8.0,6582941,6929,8.0,
1973,Oklahoma,3823050,2061330,18547,9.0,1696060,2541,9.0,
1973,Oregon,4492375,1714082,26209,6.0,1412382,1807,6.0,
1973,Pennsylvania,21067070,9163800,22989,7.0,7593357,7744,7.0,
1973,Rhode Island,2184270,754354,28956,4.0,622644,5081,4.0,
1973,South Carolina,4581935,2048678,22365,7.0,1629969,8111,7.0,
1973,South Dakota,1127770,509559,22132,7.0,408005,7641,7.0,
1973,Tennessee,5661670,3136991,18048,9.0,2579076,1952,9.0,
1973,Texas,21029755,8898655,23633,6.0,7198976,9212,7.0,
1973,Utah,1273370,826419,15408,0.0,641171,9860,0.0,
1973,Vermont,1304440,348310,37451,1.0,282473,6179,1.0,
1973,Virginia,8377415,3693742,22680,7.0,2999469,7930,7.0,
1973,Washington,7211205,2631699,27401,5.0,2157063,3431,5.0,
