Year,State,Type of beverage,Gallons of beverage,Gallons of ethanol (absolute alcohol),Population (age 14 and older),Gallons of ethanol per capita age 14 and older,Decile for per capita consumption age 14 and older,Population (age 21 and older),Gallons of ethanol per capita age 21 and older,Decile for per capita consumption age 21 and older,Type of data source,Time-varying alcohol by volume (ABV),Gallons of ethanol derived from time-varying ABV
1970,Maine,Wine,439000,70240,727000,966,9,597000,1177,9,N/A,N/A,N/A
1970,Maine,Beer,19981000,899145,727000,12368,3,597000,5061,4,N/A,N/A,N/A
1970,Maine,All beverages,N/A,1719985,727000,23659,6,597000,8810,6,N/A,N/A,N/A
1970,Maryland,Spirits,8748000,3936600,2842000,13852,2,2342000,6809,2,N/A,N/A,N/A
1970,Maryland,Wine,4502000,720320,2842000,2535,4,2342000,3076,5,N/A,N/A,N/A
1970,Maryland,Beer,82602000,3717090,2842000,13079,2,2342000,5871,2,N/A,N/A,N/A
1970,Maryland,All beverages,N/A,8374010,2842000,29465,2,2342000,5756,2,N/A,N/A,N/A
1970,Massachusetts,Spirits,12732000,5729400,4229000,13548,3,3507000,6337,3,N/A,N/A,N/A
1970,Massachusetts,Wine,7925000,1268000,4229000,2998,4,3507000,3616,4,N/A,N/A,N/A
1970,Massachusetts,Beer,107655000,4844475,4229000,11455,6,3507000,3814,6,N/A,N/A,N/A
1970,Massachusetts,All beverages,N/A,11841875,4229000,28002,3,3507000,3766,4,N/A,N/A,N/A
1970,Michigan,Spirits,15056000,6775200,6359000,10655,5,5146000,3166,5,N/A,N/A,N/A
1970,Michigan,Wine,9517000,1522720,6359000,2395,5,5146000,2959,5,N/A,N/A,N/A
1970,Michigan,Beer,193944000,8727480,6359000,13725,2,5146000,6960,2,N/A,N/A,N/A
1970,Michigan,All beverages,N/A,17025400,6359000,26774,4,5146000,3085,4,N/A,N/A,N/A
1970,Minnesota,Spirits,7484000,3367800,2735000,12314,4,2219000,5177,4,N/A,N/A,N/A
1970,Minnesota,Wine,2692000,430720,2735000,1575,6,2219000,1941,7,N/A,N/A,N/A
1970,Minnesota,Beer,69288000,3117960,2735000,11400,6,2219000,4051,6,N/A,N/A,N/A
1970,Minnesota,All beverages,N/A,6916480,2735000,25289,5,2219000,1169,5,N/A,N/A,N/A
1970,Mississippi,Spirits,2458000,1106100,1568000,7054,9,1242000,8906,9,N/A,N/A,N/A
1970,Mississippi,Wine,797000,127520,1568000,813,0,1242000,1027,0,N/A,N/A,N/A
1970,Mississippi,Beer,28648000,1289160,1568000,8222,9,1242000,0380,9,N/A,N/A,N/A
1970,Mississippi,All beverages,N/A,2522780,1568000,16089,9,1242000,0312,9,N/A,N/A,N/A
1970,Missouri,Spirits,7724000,3475800,3479000,9991,6,2879000,2073,7,N/A,N/A,N/A
1970,Missouri,Wine,4228000,676480,3479000,1944,6,2879000,2350,6,N/A,N/A,N/A
1970,Missouri,Beer,86940000,3912300,3479000,11245,6,2879000,3589,7,N/A,N/A,N/A
1970,Missouri,All beverages,N/A,8064580,3479000,23181,7,2879000,8012,7,N/A,N/A,N/A
1970,Montana,Spirits,1145000,515250,502000,10264,6,405000,2722,6,N/A,N/A,N/A
1970,Montana,Wine,418000,66880,502000,1332,8,405000,1651,8,N/A,N/A,N/A
1970,Montana,Beer,17179000,773055,502000,15400,1,405000,9088,1,N/A,N/A,N/A
1970,Montana,All beverages,N/A,1355185,502000,26996,4,405000,3461,4,N/A,N/A,N/A
1970,Nebraska,Spirits,2463000,1108350,1093000,10140,6,894000,2398,6,N/A,N/A,N/A
1970,Nebraska,Wine,902000,144320,1093000,1320,8,894000,1614,8,N/A,N/A,N/A
1970,Nebraska,Beer,31183000,1403235,1093000,12838,3,894000,5696,3,N/A,N/A,N/A
1970,Nebraska,All beverages,N/A,2655905,1093000,24299,6,894000,9708,6,N/A,N/A,N/A
1970,Nevada,Spirits,2499000,1124550,354000,31767,1,297000,7864,1,N/A,N/A,N/A
1970,Nevada,Wine,1482000,237120,354000,6698,1,297000,7984,1,N/A,N/A,N/A
1970,Nevada,Beer,13620000,612900,354000,17314,1,297000,0636,1,N/A,N/A,N/A
1970,Nevada,All beverages,N/A,1974570,354000,55779,1,297000,6484,1,N/A,N/A,N/A
1970,New Hampshire,Spirits,3371000,1516950,537000,28249,1,443000,4243,1,N/A,N/A,N/A
1970,New Hampshire,Wine,1058000,169280,537000,3152,3,443000,3821,3,N/A,N/A,N/A
1970,New Hampshire,Beer,20079000,903555,537000,16826,1,443000,0396,1,N/A,N/A,N/A
1970,New Hampshire,All beverages,N/A,2589785,537000,48227,1,443000,8460,1,N/A,N/A,N/A
1970,New Jersey,Spirits,16289000,7330050,5313000,13796,3,4459000,6439,3,N/A,N/A,N/A
1970,New Jersey,Wine,12629000,2020640,5313000,3803,2,4459000,4532,3,N/A,N/A,N/A
1970,New Jersey,Beer,138322000,6224490,5313000,11716,6,4459000,3959,6,N/A,N/A,N/A
1970,New Jersey,All beverages,N/A,15575180,5313000,29315,3,4459000,4930,3,N/A,N/A,N/A
1970,New Mexico,Spirits,1530000,688500,701000,9822,7,554000,2428,6,N/A,N/A,N/A
1970,New Mexico,Wine,1597000,255520,701000,3645,3,554000,4612,2,N/A,N/A,N/A
1970,New Mexico,Beer,18665000,839925,701000,11982,4,554000,5161,4,N/A,N/A,N/A
1970,New Mexico,All beverages,N/A,1783945,701000,25449,5,554000,2201,5,N/A,N/A,N/A
1970,New York,Spirits,43365000,19514250,13696000,14248,2,11509000,6956,2,N/A,N/A,N/A
1970,New York,Wine,33994000,5439040,13696000,3971,1,11509000,4726,2,N/A,N/A,N/A
1970,New York,Beer,357617000,16092765,13696000,11750,5,11509000,3983,6,N/A,N/A,N/A
1970,New York,All beverages,N/A,41046055,13696000,29969,2,11509000,5664,2,N/A,N/A,N/A
1970,North Carolina,Spirits,7584000,3412800,3734000,9140,7,3003000,1365,7,N/A,N/A,N/A
1970,North Carolina,Wine,3688000,590080,3734000,1580,6,3003000,1965,6,N/A,N/A,N/A
1970,North Carolina,Beer,59386000,2672370,3734000,7157,0,3003000,8899,0,N/A,N/A,N/A
1970,North Carolina,All beverages,N/A,6675250,3734000,17877,9,3003000,2229,9,N/A,N/A,N/A
1970,North Dakota,Spirits,1009000,454050,446000,10180,6,356000,2754,5,N/A,N/A,N/A
1970,North Dakota,Wine,299000,47840,446000,1073,9,356000,1344,9,N/A,N/A,N/A
1970,North Dakota,Beer,12038000,541710,446000,12146,4,356000,5217,3,N/A,N/A,N/A
1970,North Dakota,All beverages,N/A,1043600,446000,23399,6,356000,9315,6,N/A,N/A,N/A
1970,Ohio,Spirits,14046000,6320700,7764000,8141,8,6355000,9946,8,N/A,N/A,N/A
1970,Ohio,Wine,9062000,1449920,7764000,1867,6,6355000,2282,6,N/A,N/A,N/A
1970,Ohio,Beer,209830000,9442350,7764000,12162,4,6355000,4858,4,N/A,N/A,N/A
1970,Ohio,All beverages,N/A,17212970,7764000,22170,7,6355000,7086,7,N/A,N/A,N/A
1970,Oklahoma,Spirits,3568000,1605600,1921000,8358,8,1584000,0136,8,N/A,N/A,N/A
1970,Oklahoma,Wine,1749000,279840,1921000,1457,7,1584000,1767,7,N/A,N/A,N/A
1970,Oklahoma,Beer,33200000,1494000,1921000,7777,0,1584000,9432,0,N/A,N/A,N/A
1970,Oklahoma,All beverages,N/A,3379440,1921000,17592,9,1584000,1335,9,N/A,N/A,N/A
1970,Oregon,Spirits,3135000,1410750,1564000,9020,7,1284000,0987,7,N/A,N/A,N/A
1970,Oregon,Wine,3841000,614560,1564000,3929,1,1284000,4786,1,N/A,N/A,N/A
1970,Oregon,Beer,40798000,1835910,1564000,11739,6,1284000,4298,6,N/A,N/A,N/A
1970,Oregon,All beverages,N/A,3861220,1564000,24688,6,1284000,0072,6,N/A,N/A,N/A
1970,Pennsylvania,Spirits,16188000,7284600,8846000,8235,8,7357000,9902,8,N/A,N/A,N/A
1970,Pennsylvania,Wine,10675000,1708000,8846000,1931,6,7357000,2322,6,N/A,N/A,N/A
1970,Pennsylvania,Beer,248341000,11175345,8846000,12633,3,7357000,5190,3,N/A,N/A,N/A
1970,Pennsylvania,All beverages,N/A,20167945,8846000,22799,7,7357000,7413,7,N/A,N/A,N/A
